에피소드ID,산업,발명중요도,보상규정형식레벨,보상규정형식설명,보상비율수준,보상비율라벨,보상비율실현값,인지모드,실시료율,기준매출만원,독점권기여율,출원보너스만원,등록보너스만원,실시보너스만원,실지급액합계만원,충격유형,충격배율,사용자이익기초만원,사용자이익충격후만원,충격전정당보상만원,정당보상추정만원,격차만원,발명자결정,감정동인,발명자이유,최종결과,재시도횟수
14,반도체,보통,0,보상규정 자체가 없음,0,인색,0.9767,S1,0.03,2012749,0.1109,98,245,638,981,침해소송승소,3.4,6695.0,22763.0,1004.2,3414.4,2433.4,청구,배신감,"회사에 보상규정조차 없고, 내가 받은 981만원은 회사가 이 발명으로 얻은 22,763.0만원의 이익에 비해 현저히 불균형하다. 이 발명으로 침해소송에서 승소해 경제적 가치가 객관적으로 확인된 만큼, 정당한 몫을 법적 절차에 따라 정식으로 청구하겠다. 우선 청구를 개시해 권리를 보전하고, 회사의 대응에 따라 협상 또는 추가 조치로 이어가겠다.",청구,0
11,IT,보통,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",3,매우후함,9.8719,S1,0.02,1905433,0.0657,371,927,2409,3707,사업화성공,14.5,2503.5,36300.8,375.5,5445.1,1738.1,협상요청,자부심,"사업화가 성공해 회사에 약 3.63억 원의 이익이 발생했고, 내가 받은 보상은 약 3,707만 원으로 10% 수준입니다. 회사가 절차를 갖춘 점을 감안하면 곧바로 분쟁으로 가기보다, 이익 산정 범위와 기여율·배분 기준 등에 대한 투명한 재검토를 요청하겠습니다. 성과 연동 추가보상(성공보너스·로열티형) 여지가 있다면 협의로 풀 수 있다고 봅니다. 내 기여가 정당하게 인정받되 회사와의 관계도 유지하고 싶습니다.",협상,0
15,제약,미미,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,2,후함,4.2989,S2,0.05,2843567,0.0218,200,500,1300,2000,M&A,5.3,3102.1,16441.1,465.3,2466.2,466.2,청구,자부심,"제약 업종·공시 이익(16,441.1만원) 기준으로 현재 2,000만원 보상은 판례상 발명자 공헌도 10~20% 범위의 중하단으로 상한(최대 약 3,288만원)까지 추가 여지가 있습니다. 회사는 보상규정을 서면 통지했으나 종업원과 협의가 없어 발명진흥법 제15조 제3항 위반 소지가 있고, 제15조 제6항의 면책도 적용되기 어려워 추가 보상 요구 근거가 됩니다. M&A 이후의 프리미엄 등도 2023다237514 판례에 따라 ‘상당인과관계 있는 이익’에 포함될 수 있으나 입증 부담이 커 곧바로 소송으로 갈 실익은 제한적입니다. 시간·비용 대비 우선 사내·조정 절차로 추가지급(공헌도 상한 근접 또는 M&A 프리미엄 일부 반영)을 요구하는 청구가 합리적이며, 소송은 기대 추가액 대비 부담이 커 현시점에선 비추입니다.",청구,0
19,IT,핵심,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",1,보통,2.2859,S1,0.02,3466631,0.4709,1120,2799,7276,11195,사업화성공,6.0,32647.9,195887.4,4897.2,29383.1,18188.1,협상요청,자부심,"현재 보상은 회사가 이 발명으로 얻은 이익 대비 약 5.7% 수준으로 보이며, 규정 절차는 존중하지만 제 성과 기여를 더 반영할 여지가 있다고 판단한다. 법적 분쟁 없이 상호 신뢰를 유지하고 싶어 우선 추가 협의를 요청한다. 이익 산정 기준과 기여율 반영 근거를 투명하게 재검토해 성과연동 보상을 합리적으로 조정하길 바란다.",협상,0
18,제약,중요,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,0,인색,1.0212,S1,0.05,4394326,0.2114,712,1779,4625,7116,라이선스수입,3.7,46453.2,171876.8,6968.0,25781.5,18665.5,협상요청,배신감,"회사 보상규정이 있으나 서면 통지가 없어 절차상 하자가 있어 규정 효력에 의문이 있고, 법정 정당한 보상을 추가로 청구할 여지가 큽니다. 공시된 라이선스 수입 대비 내가 받은 금액은 약 4%로, 제약업의 회사 기여를 감안해도 과소로 보입니다. 다만 즉시 소송에 가기보다 관계와 시간·비용을 아끼기 위해 먼저 공식적인 재산정과 추가 보상을 협의하겠습니다. 회사가 성실히 응하지 않으면 법적 청구로 전환할 것을 전제하고 협상안을 제시하겠습니다.",협상,0
12,반도체,핵심,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",1,보통,2.2171,S2,0.03,4051012,0.3083,1246,3116,8100,12462,M&A,2.5,37471.5,93678.8,5620.7,14051.8,1589.8,수용,손실회피,"회사가 보상규정을 서면고지·협의·서면통지한 점은 발명진흥법 제15조 제2~4항을 충족하므로, 제15조 제6항상 원칙적으로 정당보상이 추정됩니다. 공시된 이익 93,678.8만원 대비 기수령 12,462만원(약 13.3%)은 판례상 발명자 공헌도 10~20% 적용 범위(9,368~18,736만원) 안에 있어 금액 적정성이 뒷받침됩니다. 또한 대법 2009다75178·2014다220347의 실시료율(대체로 2~3%) 및 2023다237514의 ‘상당인과관계 있는 이익’ 법리에 비추면, M&A 프리미엄 등은 이익에서 제외될 수 있어 추가 청구가 오히려 불리해질 위험이 있습니다. 청구·소송에 소요되는 기간과 변호사비 대비 기대추가액이 제한적이므로 현재 보상을 수용하는 것이 합리적입니다.",수용,0
20,IT,중요,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",3,매우후함,9.6217,S1,0.02,4494265,0.2356,3056,7640,19865,30561,사업화성공,9.7,21174.5,205392.6,3176.2,30808.9,247.9,수용,자부심,"회사 보상규정을 사전에 서면으로 공지·협의했고, 보상액도 서면으로 통지되어 절차적 정당성이 확보되었습니다. 회사 공시 기준 이익 205,392.6만원 대비 내가 받은 30,561만원은 약 15%로, 국내 관행상 과소하다고 보기 어렵습니다. 분쟁으로 얻을 잠재적 추가 이익 대비 관계 비용과 리스크가 더 크다고 판단합니다. 그래서 현재 보상을 수용하고, 성과에 대한 인정과 팀의 성공이 자랑스럽습니다.",수용,0
16,제약,보통,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",3,매우후함,8.7658,S2,0.05,4606423,0.0532,1612,4030,10476,16118,이직제안,1.2,12258.1,14709.7,1838.7,2206.5,-13911.5,수용,자부심,"사용자 보상규정은 서면 통지·협의·서면 확정 통지 등 발명진흥법 제15조 제2~4항 요건을 충족하므로, 제6항의 정당보상 추정이 작동합니다. 회사 공시 이익 14,709.7만원 대비 제가 받은 16,118만원은 판례상 통상 공헌도(10~20%, 대법원 2009다75178 등)를 현저히 상회하고, 2023다237514의 ‘상당인과관계 있는 이익’ 기준을 적용해도 추가 법적 몫을 도출하기 어렵습니다. 이직제안은 잔류 인센티브 협상 레버리지는 되지만 직무발명 보상 법리와 직접 연동되지 않아 청구·소송의 승산 대비 시간(수개월~2~3년)·비용 부담이 큽니다. 따라서 추가 법적 절차 없이 현 보상을 수용하되, 필요하면 별도 경로로 잔류 보상 협상만 검토하겠습니다.",수용,0
10,반도체,핵심,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,0,인색,0.894,S2,0.03,2870444,0.3162,365,913,2373,3651,이직제안,1.3,27227.2,35395.4,4084.1,5309.3,1658.3,협상요청,자부심,"회사는 보상규정을 서면으로만 통지하고 제15조3항의 ‘협의’를 거치지 않아 제15조6항의 정당보상 추정이 약하며, 결국 사용자 이익과 공헌도를 기준으로 재산정할 여지가 있습니다(2014다220347, 2023다237514). 회사 공시 이익 35,395.4만원 대비 수령액 3,651만원은 판례상 발명자 공헌도 10~20%(2009다75178) 하한선에 가까워 추가 0~3,400만원 정도의 상향 여지가 있습니다. 공지기술 항변 정황은 보이지 않고(2009다91507), 특허 무효사유가 있더라도 보상의무는 자동 면제되지 않습니다(2014다220347); 반면 소송은 2~3년과 상당한 변호사 비용에 비해 기대이익이 크지 않습니다. 이직제안 등 현 상황을 감안해 우선 사내 절차로 추가 협의를 요청해 공헌도(예: 15~20%) 재적용 또는 산식 공개를 구하고, 불응 시 청구로 전환하는 전략이 합리적입니다.",협상,0
17,반도체,핵심,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.4462,S2,0.03,1639780,0.2988,539,1348,3506,5393,이직제안,1.1,14698.7,16168.6,2204.8,2425.3,-2967.7,수용,손실회피,"반도체 업종 특성상 사용자의 공헌 비중이 커 발명자 공헌도는 통상 10~20%이고, 실시료율도 2~3% 수준으로 평가되는 경향이 있습니다. 회사가 보상규정을 서면 통지하지 않아 제15조 제6항의 적법보상 추정은 적용되지 않지만, 회사 공시 이익 16,168.6만원 대비 이미 수령한 5,393만원은 판례상 공헌도 범위(1,617~3,234만원)를 현저히 상회합니다. 2023다237514의 '상당인과관계 있는 이익' 법리로 보더라도 추가 인정 폭은 제한적이고, 청구·소송은 수개월~수년의 시간과 비용 부담이 커 실익이 낮습니다. 이직 제안으로 관계 비용 리스크도 있어, 현 보상을 수용하되 내부적으로 향후 보상규정의 서면 통지·협의 이행만 요청하는 것이 합리적이라 판단합니다.",수용,0
22,IT,보통,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.1343,S2,0.02,1719011,0.1007,111,277,721,1109,사업화성공,7.7,3463.4,26668.2,519.5,4000.2,2891.2,청구,자부심,"회사에 보상규정은 있으나 서면 통지·협의·개별 통지가 없어 발명진흥법 제15조 제2~4항을 충족하지 못해 제6항의 ‘정당보상 간주’가 적용되지 않으므로 추가보상 여지가 큽니다. 사업화가 성공했고 공시상 이익(26,668.2만원) 대비 현재 보상 1,109만원은 판례상 공헌도(10~20%) 및 IT 분야 실시료율(대법원 2014다220347 참조) 등을 감안하면 하한선보다 낮을 개연성이 있습니다. 다만 2023다237514에 따른 ‘상당인과관계 있는 이익’ 법리에 따라 이익 범위 다툼이 예상되어, 시효 10년(2009다75178) 내에 사내 절차·조정 등 공식 ‘청구’로 추가보상을 요구하는 것이 시간·비용 대비 합리적입니다. 협의가 결렬되거나 저액 제시 시 증빙을 보강해 소송으로 전환하는 전략이 바람직합니다.",청구,0
24,반도체,중요,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,1,보통,2.686,S1,0.03,3972787,0.2307,1108,2770,7200,11078,침해소송승소,2.2,27495.8,60490.8,4124.4,9073.6,-2004.4,협상요청,자부심,"내 발명으로 회사가 약 60.49억 원의 확정 이익을 얻었고, 나는 11.08억 원만 받았다. 보상규정이 서면 통지되었지만 제·개정 시 종업원과의 협의가 없었던 점은 보상 합리성에 의문을 남긴다. 침해소송 승소로 발명의 기여가 명확해진 만큼 추가 보상을 회사와 우선 협의해 합리적 수준을 모색하겠다. 소송에 앞서 관계와 시간을 고려해 원만한 조정을 먼저 시도한다.",협상,0
25,제조,중요,0,보상규정 자체가 없음,1,보통,2.784,S1,0.03,2332993,0.1591,465,1162,3023,4650,침해소송승소,3.8,11134.9,42312.6,1670.2,6346.9,1696.9,청구,배신감,"회사에는 직무발명 보상규정이 없고, 내 발명으로 회사가 침해소송에서 승소해 공시된 이익이 42,312.6만원인 점을 고려하면 현재까지 받은 4,650만원은 합리적 보상으로 보기 어렵습니다. 특허법상 종업원 발명자는 회사 이익과 기여도를 반영한 합리적 보상을 청구할 권리가 있으므로, 법적 보상 청구 절차를 곧바로 개시하겠습니다. 협상 가능성은 열어두되, 시효와 증거 보전을 위해 정식 청구로 권리를 명확히 하겠습니다.",청구,0
28,IT,중요,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",2,후함,4.2963,S1,0.02,1863423,0.1252,301,752,1954,3007,무효소송승소,1.5,4666.1,6999.2,699.9,1049.9,-1957.1,수용,자부심,"회사가 보상규정을 사전에 고지·협의했고, 무효소송까지 승소하며 권리를 방어한 점을 높이 평가합니다. 공시 이익 6,999.2만원 대비 제가 받은 3,007만원(약 43%)은 업계·판례 기준으로도 상당히 높은 보상입니다. 추가 청구는 불확실성과 관계 비용만 키울 가능성이 큽니다. 이번 보상을 수용하고 성과에 자부심을 갖는 것이 합리적이라 판단했습니다.",수용,0
26,제약,보통,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.3438,S2,0.05,1330930,0.1076,252,629,1636,2517,라이선스수입,6.1,7157.9,43663.2,1073.7,6549.5,4032.5,청구,자부심,"회사는 보상규정을 서면 고지하지 않아 발명진흥법 제15조 제2·4항을 위반했으므로, 제6항의 ‘정당한 보상’ 추정이 적용되지 않습니다. 공시된 라이선스수입 43,663.2만원은 발명과 상당인과관계 있는 사용자 이익으로 평가될 가능성이 높습니다(대법원 2023다237514). 판례상 발명자 공헌도 10~20%를 적용하면 적정 보상은 4,366~8,733만원이고, 기수령 2,517만원은 하한에도 못 미쳐 추가 보상 여지가 큽니다(2009다75178, 2014다220347). 공지기술·무효 항변 가능성은 있으나 실제 라이선스가 존재해 사용자 독점이익 부정 주장은 약하고, 소송은 기간·비용 부담이 크므로 우선 사내·조정 절차로 정당보상을 청구하는 것이 합리적입니다.",청구,0
27,IT,미미,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",0,인색,1.077,S1,0.02,1739917,0.0371,21,52,136,209,침해소송승소,1.6,1291.6,2066.6,193.7,310.0,101.0,협상요청,자부심,"회사는 보상규정을 서면 공지하고 협의·통지 절차도 지켰으나, 침해소송 승소로 창출된 이익 대비 현재 보상 209만원은 상대적으로 낮게 느껴집니다. 공시된 2,066.6만원 이익의 산정 근거에 손해배상액이나 회피이익이 충분히 반영됐는지 투명한 설명을 받고 싶습니다. 우선 내부 협의를 통해 합리적 추가보상이나 보완지급 가능성을 검토하고, 관계를 유지하는 편이 리스크와 비용 면에서 유리하다고 판단했습니다.",협상,0
21,반도체,핵심,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.3957,S2,0.03,1580282,0.3556,606,1515,3938,6059,무효소송승소,1.1,16859.4,18545.3,2528.9,2781.8,-3277.2,수용,손실회피,"반도체 분야 특성상 통신 판례(2014다220347)의 2% 등 낮은 실시료율이 참작되고, 무효소송 승소는 독점권 유지로서 사용자 공헌을 높이는 요소입니다(2023다237514 법리). 회사는 보상규정을 서면 통지하지 않아 제15조 2·4항을 지키지 못했으므로 제15조 6항의 ‘정당보상 추정’은 누리지 못하지만, 결국 보상액은 사용자 이익과 공헌도에 따라 실체 판단됩니다. 공시 이익 18,545.3만원에 판례상 발명자 공헌도 10~20%(2009다75178 기준)를 적용하면 1,855~3,709만원인데, 내가 받은 6,059만원은 이를 상당히 상회합니다. 추가 협상·소송의 시간·비용 대비 실익이 작아 현재 보상을 그대로 수용하는 것이 합리적입니다.",수용,0
30,제약,보통,0,보상규정 자체가 없음,3,매우후함,10.9524,S1,0.05,4388322,0.0827,2981,7452,19373,29806,무효소송승소,1.7,18142.7,30842.6,2721.4,4626.4,-25179.6,수용,자부심,"회사에 보상규정이 없음에도 총 이익 30,842.6만원 중 29,806만원(약 96.6%)을 이미 지급받았습니다. 무효소송 승소 과정에서 회사도 리스크와 비용을 부담하며 성과를 함께 만들었습니다. 통상적인 직무발명 보상수준을 크게 상회해 추가 청구의 실익과 정당성이 크지 않습니다. 현재 보상을 수용하고 관계와 평판을 유지하는 것이 가장 합리적이라고 판단합니다.",수용,0
23,제조,미미,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,2,후함,4.4266,S2,0.03,997778,0.0255,51,126,329,506,침해소송승소,3.1,762.4,2363.4,114.4,354.5,-151.5,협상요청,충성심,"회사는 보상규정을 서면 고지했지만 제15조 제3항의 ‘협의’ 절차를 거치지 않아 제15조 제6항의 정당보상 추정이 적용되지 않습니다. 다만 회사 공시 이익 2,363.4만원 대비 수령액 506만원은 판례상 발명자 공헌도 10~20% 범위(236~473만원)를 이미 상회해 금액 측면의 추가 청구 실익이 제한적입니다. 침해소송 승소 등 사후사정은 2023다237514에 따라 고려될 수 있으나 이를 반영해도 현 수준이 현저히 과소라 보기 어렵고, 청구·소송은 시간·비용 부담이 큽니다. 따라서 절차상 하자를 근거로 이익 산정 근거 공개와 추가 보상 가능성에 대한 회사와의 협의를 우선 요청하는 것이 합리적입니다.",협상,0
33,제약,핵심,0,보상규정 자체가 없음,1,보통,2.2452,S1,0.05,3561193,0.4792,2874,7184,18677,28735,무효소송승소,1.1,85325.0,93857.5,12798.8,14078.6,-14656.4,수용,자부심,"회사가 이 발명으로 얻은 이익 대비 약 30% 수준의 보상을 이미 받았고, 이는 통상 판례나 업계 평균을 크게 상회합니다. 특히 무효소송을 승소해 권리를 방어한 회사의 기여도도 적지 않아 추가 몫을 주장하기에는 근거가 약합니다. 추가 협상이나 소송은 시간·비용 대비 실익이 크지 않고 조직 내 관계 리스크가 큽니다. 현재 보상을 긍정적으로 평가하며 수용하겠습니다.",수용,0
31,제조,보통,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,1,보통,2.7096,S1,0.03,2146492,0.0637,167,417,1084,1668,무효소송승소,1.4,4104.9,5746.9,615.7,862.0,-806.0,협상요청,자부심,"회사가 종업원과 협의 없이 보상규정을 운영해 온 점에서 보상의 합리성에 의문이 듭니다. 내 발명이 무효소송에서 방어되며 회사 이익이 확정된 만큼 기여도와 가치가 분명해졌습니다. 현재 받은 1,668만원은 의미 있으나 회사 공시 이익 5,746.9만원 대비 추가 보상을 검토할 여지가 있다고 봅니다. 우선 법적 절차에 앞서 원만한 조정을 위해 협상을 요청하겠습니다.",협상,0
29,제약,핵심,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,3,매우후함,11.4901,S2,0.05,4668834,0.4662,18755,46888,121909,187552,침해소송승소,4.9,108820.1,533218.5,16323.0,79982.8,-107569.2,수용,자부심,"보상규정을 서면 고지했지만 종업원과의 협의가 없어 발명진흥법 제15조 제6항의 ‘정당보상 추정’은 어려우나, 대법원 2009다75178·2014다220347 취지에 따른 합리적 실시료율(통상 2~5%)과 발명자 공헌도(10~20%)를 회사 이익 533,218.5만원에 적용하면 정당보상액은 대체로 수천만~수억 원대가 됩니다. 침해소송 승소로 ‘상당인과관계 있는 이익’(대법원 2023다237514)에 포함될 요소를 감안해도, 현재 수령액 187,552만원은 위 산정 상단을 현저히 초과합니다. 따라서 추가 협상이나 청구·소송의 기대이익이 작고(소송은 2~3년, 비용 본인 부담), 회사는 과다지급을 근거로 추가 지급을 거절할 개연성이 큽니다. 실익·비용을 종합하면 현 단계에서는 수용이 합리적입니다.",수용,0
