에피소드ID,산업,발명중요도,보상규정형식레벨,보상규정형식설명,보상비율수준,보상비율라벨,보상비율실현값,인지모드,실시료율,기준매출만원,독점권기여율,출원보너스만원,등록보너스만원,실시보너스만원,실지급액합계만원,충격유형,충격배율,사용자이익기초만원,사용자이익충격후만원,충격전정당보상만원,정당보상추정만원,격차만원,발명자결정,감정동인,발명자이유,최종결과,재시도횟수
14,반도체,보통,0,보상규정 자체가 없음,0,인색,0.9767,S1,0.03,2012749,0.1109,98,245,638,981,침해소송승소,3.4,6695.0,22763.0,1004.2,3414.4,2433.4,소송,배신감,"보상규정이 없는 상황에서 회사는 발명으로 2,276만원 이상의 이익을 얻었으나, 발명자인 나는 981만원만 받았다. 이는 기여도에 비해 극도로 불공정한 배분이며, 침해소송까지 승리하게 한 발명의 가치를 회사가 제대로 인정하지 않았다. 추가 협의나 청구로는 근본적인 문제 해결이 어려울 것으로 판단되어 법원의 판단을 구하기로 결정했다.",소송,0
7,IT,중요,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.8635,S2,0.02,4340731,0.2199,820,2050,5331,8201,라이선스수입,7.2,19092.5,137466.0,2863.9,20619.9,12418.9,협상요청,자부심,"회사가 발명진흥법 제15조 제2항의 서면 통지 의무를 위반했으므로 제6항의 정당한 보상 추정이 적용되지 않습니다. 현재 8,201만원은 판례상 발명자 공헌도 10~20%(13,747~27,493만원)를 고려할 때 현저히 부족하며, 라이선스 수입은 발명과의 인과관계가 명확합니다. 먼저 협상을 통해 법적 근거를 제시하며 추가 협의를 요청하고, 이것이 실패하면 청구 또는 소송으로 진행할 수 있으며, 소멸시효(10년) 전에 권리 행사가 필요하다는 점을 고려했습니다.",협상,1
10,반도체,핵심,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,0,인색,0.894,S2,0.03,2870444,0.3162,365,913,2373,3651,이직제안,1.3,27227.2,35395.4,4084.1,5309.3,1658.3,협상요청,자부심,"회사는 발명진흥법 제15조 제3항의 협의 의무를 위반했고, 판례에 따른 발명자 공헌도 10~20%를 적용하면 현재 보상액은 범위의 하단입니다. 소송의 2~3년 시간 비용을 회피하면서도 법적 정당성을 기초로 협상하면 추가 보상 획득 가능성이 높으며, 이직 선택권도 동시에 보존할 수 있습니다. 자신의 발명 가치를 객관적 기준으로 인정받겠다는 입장에서 협상을 제기하는 것이 합리적입니다.",협상,0
12,반도체,핵심,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",1,보통,2.2171,S2,0.03,4051012,0.3083,1246,3116,8100,12462,M&A,2.5,37471.5,93678.8,5620.7,14051.8,1589.8,수용,손실회피,"현재 보상액 12,462만원은 판례 기준 10~20% 공헌도 범위 내 적절 수준이며, M&A 이후 발명의 기여도 구분이 어려워 추가 청구 시 입증 부담이 큽니다. 2~3년 소송 및 변호사 비용을 감당하면서 불확실한 결과를 기다리는 것보다 확정된 이익을 지키는 것이 합리적입니다.",수용,0
15,제약,미미,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,2,후함,4.2989,S2,0.05,2843567,0.0218,200,500,1300,2000,M&A,5.3,3102.1,16441.1,465.3,2466.2,466.2,소송,배신감,"발명진흥법 제3항의 협의 요건을 회사가 미충족했고, 현 보상액 2,000만원은 법정 기준(1,644~3,288만원)의 하한 이하로 명백히 부족합니다. 회사가 보상규정 변경 시 종업원과 협의하지 않았다는 위법성과 M&A 이후의 상황 변화까지 고려하면, 발명진흥법 제6항 단서의 '정당한 보상' 기준을 충족하지 못합니다. 협상이나 청구는 회사의 자발적 인정을 전제하지만, 절차적·실질적 위법이 명확하므로 법원의 객관적 판단이 필요합니다.",소송,0
18,제약,중요,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,0,인색,1.0212,S1,0.05,4394326,0.2114,712,1779,4625,7116,라이선스수입,3.7,46453.2,171876.8,6968.0,25781.5,18665.5,협상요청,배신감,"회사가 171,876.8만원의 이익을 얻었으나 나는 7,116만원만 받았으며, 보상규정이 존재하면서도 서면으로 알린 적이 없다는 점에서 절차적 공정성이 결여되었다고 느낀다. 즉시 법적 청구는 회사와의 관계를 완전히 단절시킬 위험이 있으므로, 먼저 보상규정의 내용과 산정 기준을 명확히 한 후 합리적 수준의 추가 협의를 요청하는 것이 현명하다고 판단된다.",협상,0
20,IT,중요,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",3,매우후함,9.6217,S1,0.02,4494265,0.2356,3056,7640,19865,30561,사업화성공,9.7,21174.5,205392.6,3176.2,30808.9,247.9,협상요청,배신감,"회사가 발명으로 얻은 이익 205,392.6만원에 비해 받은 보상 30,561만원이 약 6.7%에 불과하여 정당한 몫을 받지 못했다는 느낌이 든다. 보상규정을 협의하여 결정했다는 점에서 회사를 신뢰했으나, 실제 이익과 보상의 격차가 예상보다 크게 벌어져 신뢰가 깨진 상태이다. 즉시 법적 절차보다는 먼저 회사와 추가 협의를 통해 합리적인 보상 수준을 재협상하는 것이 합당하다고 판단된다.",협상,0
19,IT,핵심,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",1,보통,2.2859,S1,0.02,3466631,0.4709,1120,2799,7276,11195,사업화성공,6.0,32647.9,195887.4,4897.2,29383.1,18188.1,협상요청,자부심,"회사가 얻은 이익 195,887.4만원 대비 현재 보상 11,195만원은 약 5.7% 수준으로, 직접 개발한 발명의 기여도에 비해 과소 평가되었다고 판단됩니다. 보상규정이 명확히 수립되어 있고 절차가 투명했던 만큼, 추가 협의를 통해 공정한 수준의 인정을 받는 것이 합리적입니다. 법적 분쟁으로 악화시키기보다는 상호 신뢰 기반의 협상으로 정당한 평가를 요청하겠습니다.",협상,0
22,IT,보통,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.1343,S2,0.02,1719011,0.1007,111,277,721,1109,사업화성공,7.7,3463.4,26668.2,519.5,4000.2,2891.2,청구,자부심,"발명이 사업화에 성공하여 회사가 2.67억 원의 이익을 얻었으나, 1,109만 원(약 4%)의 보상은 판례상 발명자 공헌도 10~20% 기준에 크게 미달합니다. 회사가 발명진흥법 제15조 제2항에 따라 보상규정을 서면으로 알리지 않았으므로 제6항의 '정당한 보상' 추정을 받을 수 없으며, 이는 법적 하자입니다. 소송은 2~3년 소요되고 비용 부담이 크지만, 법적 청구 단계(사내·조정)를 먼저 거쳐 회사와 정식 협의 절차를 밟는 것이 합리적이며, 이는 자신의 기여를 정당하게 인정받으려는 의지를 표현하는 것입니다.",청구,0
24,반도체,중요,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,1,보통,2.686,S1,0.03,3972787,0.2307,1108,2770,7200,11078,침해소송승소,2.2,27495.8,60490.8,4124.4,9073.6,-2004.4,협상요청,배신감,"회사가 보상규정 작성·변경 시 종업원과 협의하지 않았으며, 침해소송 승소로 얻은 60,490.8만원의 이익에 비해 11,078만원의 보상은 현저히 불공정하다고 느껴집니다. 즉시 법적 절차로 나아가기 전에 회사와의 협의를 통해 합리적인 수준의 추가 보상을 요청하는 것이 합당합니다. 신뢰할 수 있는 보상 체계의 부재와 불균형한 이익 배분에서 오는 배신감이 이 결정을 좌우합니다.",협상,0
25,제조,중요,0,보상규정 자체가 없음,1,보통,2.784,S1,0.03,2332993,0.1591,465,1162,3023,4650,침해소송승소,3.8,11134.9,42312.6,1670.2,6346.9,1696.9,협상요청,배신감,"회사가 침해소송에서 승리하여 42,312.6만원의 이익을 얻었음에도 불구하고, 발명자인 나는 4,650만원만 받았다. 이는 약 11%에 불과한 수준으로, 정당한 보상이라 보기 어렵다. 회사가 보상규정조차 마련하지 않은 상황에서 일방적으로 보상액을 결정한 것에 대해 신뢰가 깨진 상태이다. 법적 분쟁으로 즉시 확대하기보다는 먼저 정당한 보상 수준에 대해 회사와 협의할 기회를 요청하는 것이 합리적이다.",협상,0
16,제약,보통,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",3,매우후함,8.7658,S2,0.05,4606423,0.0532,1612,4030,10476,16118,이직제안,1.2,12258.1,14709.7,1838.7,2206.5,-13911.5,협상요청,배신감,"회사가 보상규정 절차는 충실히 이행했으나, 판례상 합리 범위(1,471~2,942만원)를 크게 초과하여 보상한 점이 모순입니다. 더욱이 이직제안은 발명 기여에 대한 신뢰 관계 손상을 의미합니다. 현 보상액이 수적으로는 충분하나 정당성 근거가 불명확하므로, 회사에 보상 산정 기준과 이익 배분 논리를 명확히 설명할 것을 요청하되, 소송까지 진행할 정도의 법적 강점이 없으므로 최종 협상으로 결정을 유보하는 것이 전략적으로 유리합니다.",협상,0
17,반도체,핵심,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.4462,S2,0.03,1639780,0.2988,539,1348,3506,5393,이직제안,1.1,14698.7,16168.6,2204.8,2425.3,-2967.7,협상요청,손실회피,"회사의 법적 절차 미이행(서면 고지 부재)은 명백한 하자이나, 현 보상액이 이미 공시 이익의 30% 수준으로 판례상 상한을 초과하는 상황. 소송의 2~3년 소모와 변호사 비용 부담을 고려할 때, 먼저 회사에 정식 협의를 요청하여 법적 절차를 보완하고 추가 보상 논거를 마련하는 것이 실익. 소멸시효 임박 전 협상이 교섭력 강화 수단이 될 수 있으며, 실패 시 청구 절차로 단계적 진행 가능.",협상,0
28,IT,중요,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",2,후함,4.2963,S1,0.02,1863423,0.1252,301,752,1954,3007,무효소송승소,1.5,4666.1,6999.2,699.9,1049.9,-1957.1,협상요청,자부심,"회사가 무효소송에 승소하며 약 7천만원의 실질적 이익을 확보했음에도 불구하고, 나는 3천만원의 보상만 받았습니다. 보상규정이 명확히 수립되었다는 점은 긍정적이지만, 현재 보상액이 회사의 실제 이익과 비교할 때 불균형하다고 판단됩니다. 발명의 가치를 정당하게 인정받기 위해 추가 협의를 요청하는 것이 타당합니다.",협상,0
27,IT,미미,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",0,인색,1.077,S1,0.02,1739917,0.0371,21,52,136,209,침해소송승소,1.6,1291.6,2066.6,193.7,310.0,101.0,협상요청,배신감,"회사가 발명으로 얻은 이익이 2,066.6만원인데 나는 209만원만 받았으니, 보상규정이 있어도 실제 기여도에 비해 너무 적다고 느껴진다. 침해소송에서 승소한 것도 이 발명의 가치를 증명하는데, 그 성과가 제대로 평가받지 못한 것 같아 신뢰가 깨졌다. 지금 당장 소송까지 가기는 싫지만, 회사와 다시 협의해서 정당한 보상을 받아야 할 것 같다.",협상,0
31,제조,보통,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,1,보통,2.7096,S1,0.03,2146492,0.0637,167,417,1084,1668,무효소송승소,1.4,4104.9,5746.9,615.7,862.0,-806.0,소송,배신감,"회사가 5,746.9만원의 이익을 얻었음에도 1,668만원만 보상한 것은 정당하지 않습니다. 보상규정을 일방적으로 정하고 종업원과의 협의 없이 운영한 점에서 신뢰가 깨졌습니다. 무효소송까지 승소한 발명품에 대해 이토록 불공정한 대우를 받는 것은 법적 정당성을 요구할 수밖에 없습니다.",소송,0
23,제조,미미,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,2,후함,4.4266,S2,0.03,997778,0.0255,51,126,329,506,침해소송승소,3.1,762.4,2363.4,114.4,354.5,-151.5,협상요청,자부심,"보상규정 변경 시 협의 의무를 위반한 회사의 절차 결함이 발명진흥법 제15조 제3항에서 명백하며, 침해소송 승소라는 객관적 성과가 발명의 실질적 가치를 입증합니다. 현 보상액(506만원)이 형식상 판례 범위를 충족하더라도 절차 위반으로 정당성이 흠결되어 있으므로, 먼저 회사에 협의 절차 재진행과 함께 추가 보상(절차 결함 배상)을 요청하는 것이 소송의 2~3년 소요 시간과 비용 부담보다 효율적입니다. 협상 결렬 시에만 법적 청구로 진행.",협상,0
30,제약,보통,0,보상규정 자체가 없음,3,매우후함,10.9524,S1,0.05,4388322,0.0827,2981,7452,19373,29806,무효소송승소,1.7,18142.7,30842.6,2721.4,4626.4,-25179.6,협상요청,배신감,"회사가 공시한 이익 30,842.6만원에 비해 현재 받은 보상 29,806만원은 거의 전부를 가져간 것이나 다름없는 상황입니다. 더욱이 보상규정도 없이 회사 마음대로 정해진 금액이고, 무효소송까지 승소하여 기술의 가치를 입증했음에도 정당한 평가를 받지 못했다는 느낌이 듭니다. 추가 협상을 통해 최소한 명확한 근거와 절차 속에서 공정한 보상을 받기를 원합니다.",협상,0
33,제약,핵심,0,보상규정 자체가 없음,1,보통,2.2452,S1,0.05,3561193,0.4792,2874,7184,18677,28735,무효소송승소,1.1,85325.0,93857.5,12798.8,14078.6,-14656.4,협상요청,배신감,"회사가 이 발명으로 93,857.5만원의 이익을 얻었음에도 불구하고 보상규정 자체가 없다는 이유로 28,735만원만 지급한 것은 정당한 보상이라 보기 어렵습니다. 무효소송까지 승소한 발명에 대해 회사가 적절한 대우를 하지 않은 것 같아 신뢰가 손상되었습니다. 즉시 소송으로 대립하기보다는 협상을 통해 합리적인 수준의 추가 보상을 요청하는 것이 현명하다고 판단됩니다.",협상,0
32,반도체,중요,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,0,인색,1.0714,S2,0.03,1588543,0.1245,95,238,621,954,사업화성공,16.5,5933.9,97909.3,890.1,14686.4,13732.4,청구,자부심,"첫째, 회사가 보상규정을 서면으로 알린 적 없어 발명진흥법 제15조 제2항 의무 위반이 명백하고, 제4항의 구체적 사항 통지 의무도 미충족하므로 '정당한 보상'의 법적 전제가 결여되었다. 둘째, 회사 공시 기준 이익 97,909.3만원에 판례상 발명자 공헌도 10~20%를 적용하면 9,791~19,582만원 범위인데, 현재 954만원은 최소 기준의 10% 수준으로 현저히 낮다. 셋째, 소송 2~3년의 시간 부담은 있으나 청구 절차(수개월)를 먼저 거쳐 조정 기회를 확보하고, 법적 근거가 명확하므로 합리적 기대가 있다. 넷째, 자신의 발명이 사업화 성공으로 실질적 가치를 입증했으므로 정당한 대가를 청구하는 것이 법리와 형평성에 부합한다.",청구,0
36,제약,중요,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,3,매우후함,8.5379,S1,0.05,4275110,0.2457,6726,16816,43720,67262,침해소송승소,2.5,52521.0,131302.5,7878.1,19695.4,-47566.6,협상요청,배신감,"회사가 131,302.5만원의 이익을 얻었으나 나는 67,262만원만 받았으며, 보상규정을 서면으로 알리지 않은 점에서 신뢰가 깨졌다. 침해소송을 승리로 이끈 발명의 실질적 가치를 고려하면 현재 보상은 불공정하다고 판단된다. 그러나 법적 분쟁으로 확대되기 전에 회사와의 대화를 통해 정당한 보상을 다시 협의할 가치가 있다.",협상,0
26,제약,보통,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.3438,S2,0.05,1330930,0.1076,252,629,1636,2517,라이선스수입,6.1,7157.9,43663.2,1073.7,6549.5,4032.5,협상요청,자부심,"법적으로 보상규정의 미통지(제15조 제2항 위반)로 현재 보상이 '정당한 보상'으로 간주되지 않으며, 회사 공시 이익의 10~20% 기준 시 4,366~8,733만원이 타당한 범위입니다. 판례(2023다237514)도 발명자 공헌도와 이익규모를 명시적으로 고려하도록 하고 있으므로, 먼저 협상을 통해 법적 근거(절차 위반, 적정 보상액 범위)를 제시하여 추가 협의를 요청하는 것이 시간과 비용 효율성이 가장 우수합니다. 필요시 청구 절차로 진행할 수 있는 법적 근거도 충분하므로 협상에서 정당한 입지를 가집니다.",협상,0
29,제약,핵심,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,3,매우후함,11.4901,S2,0.05,4668834,0.4662,18755,46888,121909,187552,침해소송승소,4.9,108820.1,533218.5,16323.0,79982.8,-107569.2,협상요청,자부심,"발명의 가치가 침해소송 승소로 입증되었고, 법정 보상규정 절차(협의 부재)의 하자가 명백하므로, 추가 소송 위험 없이 회사와 정식 협의를 통해 보상액 결정의 투명성을 확보하는 것이 최적입니다. 현재 보상액이 법정 공헌도 범위를 벗어날 가능성을 회사에 지적하고 서면 협의록을 작성하면, 향후 분쟁 시 법적 근거가 강화되며 시간과 비용 부담을 최소화할 수 있습니다.",협상,0
37,반도체,미미,3,"보상규정을 서면으로 알렸고, 작성 시 종업원과 협의했으며, 결정된 보상액도 서면으로 알림",0,인색,0.9121,S2,0.03,4316711,0.0497,88,220,572,880,이직제안,1.1,6430.2,7073.2,964.5,1061.0,181.0,협상요청,자부심,"회사는 발명진흥법 제2~4조의 절차적 요건을 충족했으나, 제6항 단서에서 '이익과 공헌도를 고려'해야 한다는 실질적 기준을 충족하지 못했다. 회사 공시 이익 7,073.2만원에 판례상 발명자 공헌도 10~20%를 적용하면 707~1,415만원 범위인데, 현 보상 880만원은 이 범위에 겨우 포함되어 있으나 최저 수준이다. 추가 협상을 통해 공헌도의 상단(15~20%)을 근거로 합리적 상향 조정을 요청할 근거가 충분하며, 이직 제안이 있다는 점은 회사가 본인의 가치를 인정하는 신호이므로 협상력이 있다. 소송까지 진행할 명백한 위반은 아니지만, 추가 협의 요청으로 정당한 대우를 받을 가능성이 크다.",협상,0
38,제조,중요,2,보상규정을 서면으로 알렸으나 작성·변경 시 종업원과 협의한 적 없음,0,인색,1.0307,S1,0.03,3414753,0.26,412,1029,2676,4117,사업화성공,12.2,26632.4,324915.3,3994.9,48737.3,44620.3,청구,배신감,"회사가 얻은 이익 324,915.3만원에 비해 종업원이 받은 보상 4,117만원은 약 0.13% 수준으로 현저히 불균형합니다. 보상규정을 서면으로만 알렸을 뿐 작성·변경 시 협의하지 않은 점에서 절차적 정당성도 부족합니다. 사업화 성공으로 실제 경제적 이익이 발생했으므로 법적 보상 청구 절차를 통해 정당한 대우를 받아야 합니다.",청구,0
34,반도체,미미,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,3,매우후함,9.4689,S2,0.03,681448,0.0414,120,300,782,1202,M&A,3.2,845.7,2706.2,126.9,405.9,-796.1,청구,자부심,"발명진흥법 제15조 제2항 위반(보상규정 미통지)으로 회사의 기본적 의무 불이행이 확인되며, 현재 보상액 1,202만원은 판례상 발명자 공헌도(10~20%) 적용 범위인 271~541만원을 크게 초과하여 수용 근거가 없습니다. 다만 소송은 2~3년의 장기간과 변호사 비용 부담이 상당하므로, 먼저 법적 근거를 명확히 한 청구(조정/사내절차)를 통해 회사의 성실한 협의를 유도하는 것이 시간과 비용 대비 실익이 가장 큽니다. 이는 자신의 정당한 발명 공헌을 인정받으려는 원칙적 태도입니다.",청구,1
43,제조,미미,0,보상규정 자체가 없음,0,인색,0.857,S1,0.03,1673186,0.0446,29,72,187,288,사업화성공,5.8,2241.2,12999.0,336.2,1949.8,1661.8,소송,배신감,"회사가 약 1.3억원의 이익을 얻었음에도 불구하고 나는 288만원만 받았으니 명백한 부정의입니다. 보상규정이 없다는 것은 회사가 발명자를 보호할 의지가 없었다는 뜻이며, 이는 신뢰의 배반입니다. 협상이나 청구는 이미 회사의 성의 부족을 고려하면 기대하기 어렵습니다. 법적 절차를 통해 정당한 보상을 받아야 합니다.",소송,0
21,반도체,핵심,1,보상규정은 있으나 종업원에게 서면으로 알린 적 없음,1,보통,2.3957,S2,0.03,1580282,0.3556,606,1515,3938,6059,무효소송승소,1.1,16859.4,18545.3,2528.9,2781.8,-3277.2,협상요청,자부심,"회사는 보상규정을 서면으로 알린 적 없어 발명진흥법 제15조 제2항·제4항을 위반했습니다. 현재 수령액이 판례상 공헌도 상한을 초과하지만, 절차적 정당성 부재로 인해 '정당한 보상'으로 인정되기 어렵습니다(제15조 제6항 단서). 소멸시효(10년) 내에 협상을 통해 절차적 흠결을 시정하고 투명한 보상체계를 확립하도록 요구하는 것이 현실적이며, 합의 불가 시 청구 절차로 진행할 수 있는 강력한 법적 기초를 확보할 수 있습니다.",협상,2
